country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-08-2025 19:00:00",26.11442,85.39813,CO,16,36,22
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","28-08-2025 19:00:00",26.11442,85.39813,OZONE,32,69,53
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","28-08-2025 19:00:00",24.952822,84.002396,PM2.5,12,22,16
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","28-08-2025 19:00:00",26.2271665,84.3570427,PM2.5,24,30,28
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","28-08-2025 19:00:00",26.2271665,84.3570427,OZONE,6,15,12
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","28-08-2025 19:00:00",25.892357,86.590325,PM2.5,3,120,31
India,Delhi,Delhi,"Narela, Delhi - DPCC","28-08-2025 19:00:00",28.822836,77.101981,CO,37,95,47
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-08-2025 19:00:00",28.567890,77.250515,PM2.5,58,253,131
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-08-2025 19:00:00",28.567890,77.250515,PM10,62,153,119
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","28-08-2025 19:00:00",28.567890,77.250515,SO2,3,30,13
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","28-08-2025 19:00:00",28.6573814,77.1585447,PM2.5,25,308,118
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","28-08-2025 19:00:00",28.530785,77.271255,NH3,5,8,6
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","28-08-2025 19:00:00",28.530785,77.271255,SO2,1,18,8
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","28-08-2025 19:00:00",28.530785,77.271255,OZONE,15,62,54
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","28-08-2025 19:00:00",28.623763,77.287209,PM2.5,38,304,110
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","28-08-2025 19:00:00",28.623763,77.287209,SO2,6,13,9
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","28-08-2025 19:00:00",28.623763,77.287209,CO,3,111,39
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","28-08-2025 19:00:00",28.498571,77.264840,SO2,8,15,12
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","28-08-2025 19:00:00",28.5710274,77.0719006,PM10,95,173,125
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","28-08-2025 19:00:00",28.5710274,77.0719006,SO2,NA,NA,NA
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","28-08-2025 19:00:00",28.6811736,77.3025234,NH3,3,7,5
India,Delhi,Delhi,"ITO, Delhi - CPCB","28-08-2025 19:00:00",28.628624,77.241060,PM10,56,123,82
India,Delhi,Delhi,"ITO, Delhi - CPCB","28-08-2025 19:00:00",28.628624,77.241060,OZONE,12,14,14
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","28-08-2025 19:00:00",28.732820,77.170633,PM2.5,110,326,221
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","28-08-2025 19:00:00",28.732820,77.170633,PM10,96,362,202
India,Delhi,Delhi,"Rohini, Delhi - DPCC","28-08-2025 19:00:00",28.732528,77.119920,PM10,57,274,154
India,Delhi,Delhi,"Rohini, Delhi - DPCC","28-08-2025 19:00:00",28.732528,77.119920,NO2,6,35,19
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-08-2025 19:00:00",28.6514781,77.1473105,PM10,37,116,94
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-08-2025 19:00:00",28.6514781,77.1473105,NO2,56,129,84
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","28-08-2025 19:00:00",28.6514781,77.1473105,NH3,8,11,9
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","28-08-2025 19:00:00",28.710508,77.249485,PM2.5,37,395,171
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","28-08-2025 19:00:00",28.710508,77.249485,NO2,59,156,95
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","28-08-2025 19:00:00",28.710508,77.249485,SO2,12,20,16
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","28-08-2025 19:00:00",28.580280,77.233829,PM2.5,33,147,72
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","28-08-2025 19:00:00",28.588333,77.221667,PM2.5,20,76,45
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","28-08-2025 19:00:00",28.588333,77.221667,PM10,46,122,81
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","28-08-2025 19:00:00",28.588333,77.221667,NO2,67,111,90
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-08-2025 19:00:00",28.611281,77.237738,PM2.5,40,267,100
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-08-2025 19:00:00",28.611281,77.237738,NO2,18,80,41
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","28-08-2025 19:00:00",28.611281,77.237738,CO,10,117,28
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","28-08-2025 19:00:00",28.647622,77.3158090,CO,76,129,85
